Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,27.670000,28.200001,27.100000,27.799999,22.865835,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,23.726908,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,27.450546,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,28.943338,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,28.845648,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,26.590771,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,27.893589,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,27.989212,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,29.780590,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,32.068180,800431600
2013-12-01,38.090000,38.980000,35.529999,37.410000,31.701246,826617700
2014-01-01,37.349998,37.889999,34.630001,37.840000,32.065636,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,32.463921,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,34.995422,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,34.491695,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,34.952728,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,35.852734,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,37.107998,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,39.059704,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,40.108253,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,40.618690,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,41.362717,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,40.439587,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,35.172421,918966800
2015-02-01,40.590000,44.299999,40.230000,43.849998,38.176003,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,35.650684,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,42.647552,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,41.086857,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,38.962315,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,41.212685,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,38.406319,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,39.316952,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,46.761059,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,48.280071,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,49.616070,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,49.267292,927914700
