Date,MKT,SMB,HML FF,HML devil,RMW,CMA,RF,MOM,STR
196802,-3.75,-2.91,1.28,0.032,-0.16,2.45,0.39,-3.43,-0.87
196803,0.2,-1.59,-0.59,-0.0216,1.05,-1.1,0.38,3.23,1.54
196804,9.05,6.18,-1.13,-0.0644,2.69,-3.65,0.43,5.09,-0.74
196805,2.28,7,0.85,-0.0379,0.43,-1.92,0.45,3.8,-1.96
196806,0.69,-0.28,0.73,0.0415,-1.41,2.76,0.43,-1.9,3.74
196807,-2.72,-1.41,5.39,0.0614,-3.13,3.72,0.48,-0.88,-1.33
196808,1.34,2.27,1.01,0.0081,-0.7,0.48,0.42,1.89,0.71
196809,4.03,2.81,0.3,0.0093,-1.99,0.87,0.43,-0.65,-0.15
196810,0.42,-0.42,2.86,0.0366,-1.32,2.7,0.44,-1.46,1.34
196811,5.43,2.39,-0.92,-0.0067,0.43,-2.43,0.42,1.75,3.29
196812,-3.94,3.52,-0.01,0.0116,-1.86,1.76,0.43,-0.01,2.39
196901,-1.25,-0.44,1.67,0.0236,-1.55,1.38,0.53,-0.17,2.52
196902,-5.84,-4.16,0.91,0.0169,2.07,0.83,0.46,-2.36,2.39
196903,2.64,-0.45,-0.51,-0.0147,-1.43,-0.35,0.46,3.97,0.29
196904,1.46,-0.8,-0.03,-0.0155,0.41,0.06,0.53,1.13,-0.96
196905,-0.1,-0.11,0.7,0.0058,-0.95,1.39,0.48,1.7,1.44
196906,-7.18,-5.45,-1.08,-0.0069,4.32,-1.6,0.51,-2.3,-0.11
196907,-7,-3.41,1.2,0.0092,1.48,1.91,0.53,1.71,-1.61
196908,4.68,0.7,-3.79,-0.0369,1.13,-4.02,0.5,2.17,3.28
196909,-2.98,1.29,-3.27,-0.0322,3.39,-0.82,0.62,2.52,0.63
196910,5.06,3.96,-3.16,-0.0241,0.05,-2.15,0.6,-4.31,-0.48
196911,-3.79,-2.45,-1.19,-0.0138,1.46,0.3,0.52,3.66,1.04
196912,-2.63,-3.76,-2.86,-0.0343,2.54,-1.81,0.64,4.96,-2.86
197001,-8.1,3.12,3.13,0.0333,-1.72,3.84,0.6,0.6,-0.26
197002,5.13,-2.76,3.93,0.0338,-2.29,2.76,0.62,0.23,2.82
197003,-1.06,-2.41,3.99,0.0499,-1,4.29,0.57,-0.36,0.63
197004,-11,-6.4,6.18,0.0579,-0.64,6.21,0.5,-0.77,-4.54
197005,-6.92,-4.48,3.33,0.0438,-1.21,3.9,0.53,-2.78,-3.16
197006,-5.79,-2.2,0.6,-0.0108,0.13,2.96,0.58,5.7,-0.1
197007,6.93,-0.62,0.9,0.0246,-0.26,1.84,0.52,-3.14,3.97
197008,4.49,1.52,1.15,0.0256,0.56,-0.21,0.53,-6.55,1.52
197009,4.18,8.51,-5.47,-0.0245,0.3,-5.83,0.54,-8.8,0.57
197010,-2.28,-4.43,0.22,-0.0156,1.71,2.34,0.46,9.42,6.79
197011,4.6,-3.86,1.69,0.0076,1.57,1.47,0.46,2.73,-0.52
197012,5.72,2.94,1,0.0329,0.27,0.3,0.42,-2.23,2.37
197101,4.84,7.54,1.33,0.0382,-1.99,0.07,0.38,-6.51,1.88
197102,1.41,2.04,-1.23,-0.0131,0.62,-0.7,0.33,0.79,1.76
197103,4.13,2.26,-3.95,-0.0325,1.82,-2.71,0.3,-1.41,0.1
197104,3.15,-0.36,0.69,0.006,-1.47,0.87,0.28,1.41,0.92
197105,-3.98,-1.11,-1.44,-0.0173,1.4,0.25,0.29,0.86,0.53
197106,-0.1,-1.48,-1.87,-0.014,1.53,-1.64,0.37,2.73,-0.99
197107,-4.5,-1.39,0.02,0.0064,0.64,1.46,0.4,-2.35,1.37
197108,3.79,-0.16,2.63,0.0003,-0.43,2.64,0.47,3.61,5.57
197109,-0.85,0.28,-2.91,-0.0293,2.56,-1.58,0.37,2.12,0.29
197110,-4.42,-1.6,-0.48,-0.0043,1.62,-1.35,0.37,0.47,-1.25
197111,-0.46,-2.86,-1.68,-0.0177,2.44,-0.34,0.37,1.51,-0.82
197112,8.71,3.27,-0.4,0.0033,-0.4,-1.75,0.37,-0.58,3.65
197201,2.49,6.1,2.24,0.0119,-1.69,0.55,0.29,0.17,-0.58
197202,2.87,0.87,-2.79,-0.0334,1.61,-0.52,0.25,2.54,-0.1
197203,0.63,-0.43,-1.61,-0.0276,1.63,-0.18,0.27,2.94,1.46
197204,0.29,0.23,0.12,-0.0081,-0.42,-1.03,0.29,2.81,0.13
197205,1.25,-3.1,-2.7,-0.0235,2.34,-1.95,0.3,3.29,-0.93
197206,-2.43,-0.43,-2.48,-0.0084,1.88,-0.36,0.29,1.9,-1.74
197207,-0.8,-2.77,0.66,-0.0008,1.14,-0.66,0.31,2.75,-2.32
197208,3.26,-3.48,4.54,0.0532,-1.96,2.85,0.29,-5.4,0.7
197209,-1.14,-2.23,0.46,-0.0042,1.68,-1.97,0.34,1.82,1.48
197210,0.52,-2.54,1.34,0.0119,-0.15,0.02,0.4,0.71,-0.93
197211,4.6,-0.62,4.85,0.0593,-1.95,3.37,0.37,-5.09,3.28
197212,0.62,-1.89,-2.19,-0.0347,2.6,-2.16,0.37,4.92,3.89
197301,-3.29,-2.81,2.68,0.0141,0.42,0.9,0.44,3.73,-1.37
197302,-4.85,-3.91,1.6,0.0135,-0.26,0.02,0.41,2.16,-2.2
197303,-1.3,-2.33,2.62,0.0228,-1.07,0.62,0.46,3.59,0.43
197304,-5.68,-2.9,5.41,0.0429,-1.58,2.6,0.52,6.36,-0.68
197305,-2.94,-6.17,0.41,-0.0187,1.95,-1.57,0.51,7.14,-1.11
197306,-1.57,-2.48,1.2,0.0055,-0.21,0.11,0.51,4.3,0.11
197307,5.05,7.26,-5.31,-0.0063,-0.05,-3.28,0.64,-11.57,9.47
197308,-3.82,-1.84,1.24,0.0051,-1.31,1.3,0.7,3.46,1.71
197309,4.75,3.6,2.01,0.0452,-2.33,1.77,0.68,-7,1.65
197310,-0.83,-0.38,1.94,-0.0128,-1.9,2.71,0.65,6.87,1.82
197311,-12.75,-7.28,3.87,0.0169,-2.63,1.73,0.56,8.66,-4.67
197312,0.61,-4.69,3.85,0.0086,-2.78,2.48,0.64,10.38,0.39
197401,-0.17,10.41,6.02,0.1224,-3.07,4.42,0.63,-8.85,9.23
197402,-0.47,0.06,2.81,0.0287,-1.87,2.63,0.58,0.32,0.73
197403,-2.81,2.65,-0.32,0.012,2.8,0.44,0.56,-1.05,4.12
197404,-5.29,-0.7,0.85,-0.0069,2.87,2.09,0.75,2.11,-1.39
197405,-4.68,-3.07,-2.02,-0.0174,4.95,-0.42,0.75,-0.39,-2.72
197406,-2.83,0,0.77,-0.0064,0.57,2.94,0.6,2.31,-0.95
197407,-8.05,1.92,5.16,0.0578,-3.25,4.6,0.7,3.11,0.85
197408,-9.35,0.26,2.64,0.0189,-0.28,2.59,0.6,3,2.04
197409,-11.77,1.48,5.58,0.0661,-4.44,5.91,0.81,4.24,3.26
197410,16.1,-6.82,-9.87,-0.0744,-0.21,-2.86,0.51,-0.54,8.72
197411,-4.51,-1.48,-0.2,-0.0035,-3.37,2.92,0.54,2.13,-0.3
197412,-3.45,-4.35,0.11,-0.0034,-0.68,3.25,0.7,2.92,-0.38
197501,13.66,12.91,8.28,0.1845,-0.78,-0.9,0.58,-13.82,14.57
197502,5.56,-0.65,-4.44,-0.0556,1.16,-2.1,0.43,-0.61,4.55
197503,2.66,4,2.38,0.0356,1.26,-1.33,0.41,-2.04,3.5
197504,4.23,-0.71,-1.14,-0.0366,1.41,-1.34,0.44,1.38,-0.46
197505,5.19,2.89,-4.1,0.0061,-0.98,-0.6,0.44,-0.58,3.76
197506,4.83,1.43,1.38,0.0404,-2.66,1.06,0.41,0.04,3.29
197507,-6.59,3.44,1.69,0.0358,0.46,1.22,0.48,0.42,1.21
197508,-2.85,-2.84,-0.95,-0.0011,1.11,-0.93,0.48,-0.1,0.64
197509,-4.26,0.05,0.39,0.0064,0.53,0.55,0.53,0.41,-0.31
197510,5.31,-4.23,0.28,-0.0134,-0.49,2.26,0.56,-0.16,1.56
197511,2.64,-1.09,2.03,0.0083,-0.68,1.75,0.41,-0.45,-2.52
197512,-1.6,-0.05,1.69,0.0341,-0.09,0.57,0.48,-0.11,3.26
197601,12.16,6.34,8.63,0.0664,-1.79,2.28,0.47,4.45,2.84
197602,0.32,7.99,5.87,0.0507,-2.64,3.87,0.34,0.38,-2.48
197603,2.32,-1.38,-0.12,0.0066,-0.33,0.96,0.4,0.15,4.43
197604,-1.49,0.08,-0.16,0.024,0.4,-1.1,0.42,0.59,2.13
197605,-1.34,-1.1,-1.36,-0.0001,2.46,-1.41,0.37,-1.12,-0.77
197606,4.05,-1.07,0.71,0.0037,-0.68,1.02,0.43,-0.42,0.63
197607,-1.07,0.63,1.73,0.023,-1.05,0.28,0.47,-0.13,1.68
197608,-0.56,-1.98,0.81,0.0138,-0.42,-0.55,0.42,-0.85,-2.04
197609,2.07,0.1,-0.29,0.0009,0.98,-1.15,0.44,0.22,-0.32
197610,-2.42,0.13,-0.18,0.0029,-0.19,-0.37,0.41,-0.44,1.14
197611,0.36,2.66,1.51,0.0136,-1.41,0.09,0.4,2.91,0.54
197612,5.65,3.64,2.27,0.0355,-0.61,2.28,0.4,0.73,3.64
197701,-4.05,5.9,4.27,0.0514,-0.51,1.97,0.36,4,0.54
197702,-1.94,1.07,0.47,0.0033,-0.16,-0.22,0.35,0.36,1.38
197703,-1.37,1.31,1.09,0.0079,-0.3,-0.06,0.38,0.55,1.03
197704,0.15,0.61,3.38,0.0256,-2.01,1.14,0.38,4.21,-1.22
197705,-1.45,1.31,0.85,0.0085,0.33,0.19,0.37,2.03,-0.32
197706,4.71,2.08,-0.74,-0.0182,0.91,-1.2,0.4,1.66,0.09
197707,-1.69,1.88,-0.56,0.0125,0.73,0.09,0.42,0.32,1.03
197708,-1.75,0.86,-2.7,-0.0315,0.98,-0.66,0.44,-1.7,-0.71
197709,-0.27,1.43,-0.52,-0.0024,1.43,-0.84,0.43,2,0.83
197710,-4.38,1.48,1.75,0.0137,-0.2,-0.3,0.49,-0.08,1.76
197711,4,3.64,0.26,0.0018,-0.13,0.73,0.5,2.01,2.22
197712,0.27,1.59,-0.29,-0.0024,0.92,-0.69,0.49,1.58,-0.13
197801,-6.01,2.72,3.36,0.0293,-1.72,1.52,0.49,-0.66,1.07
197802,-1.38,3.7,0.83,0.0049,0.3,1.01,0.46,1.97,1.17
197803,2.85,3.71,1.18,0.0235,-0.59,1.89,0.53,1.37,-0.27
197804,7.88,-0.26,-3.54,-0.0398,2.81,-1.26,0.54,0.86,0.22
197805,1.76,4.58,-0.52,-0.0151,0.22,0.41,0.51,2.83,0.08
